Kode,Nama Perusahaan,Tipe,Currency
PURI,Puri Global Sukses Tbk.,Properties & Real Estate,IDR
HOMI,Grand House Mulia Tbk.,Properties & Real Estate,IDR
ROCK,Rockfields Properti Indonesia ,Properties & Real Estate,IDR
ATAP,Trimitra Prawara Goldland Tbk.,Properties & Real Estate,IDR
ADCP,Adhi Commuter Properti Tbk.,Properties & Real Estate,IDR
TRUE,Triniti Dinamik Tbk.,Properties & Real Estate,IDR
IPAC,Era Graharealty Tbk.,Properties & Real Estate,IDR
FORZ,Forza Land Indonesia Tbk.,Properties & Real Estate,IDR
WINR,Winner Nusantara Jaya Tbk.,Properties & Real Estate,IDR
SWID,Saraswanti Indoland Developmen,Properties & Real Estate,IDR
ASRI,Alam Sutera Realty Tbk.,Properties & Real Estate,IDR
EMTK,Elang Mahkota Teknologi Tbk.,Technology,IDR
KREN,Kresna Graha Investama Tbk.,Technology,IDR
LMAS,Limas Indonesia Makmur Tbk,Technology,IDR
MLPT,Multipolar Technology Tbk.,Technology,IDR
MTDL,Metrodata Electronics Tbk.,Technology,IDR
SKYB,Northcliff Citranusa Indonesia,Technology,IDR
KIOS,Kioson Komersial Indonesia Tbk,Technology,IDR
MCAS,M Cash Integrasi Tbk.,Technology,IDR
NFCX,NFC Indonesia Tbk.,Technology,IDR
DIVA,Distribusi Voucher Nusantara T,Technology,IDR
LUCK,Sentral Mitra Informatika Tbk.,Technology,IDR
ENVY,Envy Technologies Indonesia Tb,Technology,IDR
HDIT,Hensel Davest Indonesia Tbk.,Technology,IDR
TFAS,Telefast Indonesia Tbk.,Technology,IDR
DMMX,Digital Mediatama Maxima Tbk.,Technology,IDR
GLVA,Galva Technologies Tbk.,Technology,IDR
PGJO,Tourindo Guide Indonesia Tbk.,Technology,IDR
CASH,Cashlez Worldwide Indonesia Tb,Technology,IDR
TECH,Indosterling Technomedia Tbk.,Technology,IDR
WIFI,Solusi Sinergi Digital Tbk.,Technology,IDR
DCII,DCI Indonesia Tbk.,Technology,IDR
EDGE,Indointernet Tbk.,Technology,IDR
ZYRX,Zyrexindo Mandiri Buana Tbk.,Technology,IDR
UVCR,Trimegah Karya Pratama Tbk.,Technology,IDR
BUKA,Bukalapak.com Tbk.,Technology,IDR
RUNS,Global Sukses Solusi Tbk.,Technology,IDR
WGSH,Wira Global Solusi Tbk.,Technology,IDR
WIRG,WIR ASIA Tbk.,Technology,IDR
GOTO,GoTo Gojek Tokopedia Tbk.,Technology,IDR
ATIC,Anabatic Technologies Tbk.,Technology,IDR
AXIO,Tera Data Indonusa Tbk.,Technology,IDR
AKSI,Mineral Sumberdaya Mandiri Tbk,Transportation & Logistic,IDR
BIRD,Blue Bird Tbk.,Transportation & Logistic,IDR
CMPP,AirAsia Indonesia Tbk.,Transportation & Logistic,IDR
LRNA,Eka Sari Lorena Transport Tbk.,Transportation & Logistic,IDR
MIRA,Mitra International Resources ,Transportation & Logistic,IDR
NELY,Pelayaran Nelly Dwi Putri Tbk.,Transportation & Logistic,IDR
SAFE,Steady Safe Tbk,Transportation & Logistic,IDR
SDMU,Sidomulyo Selaras Tbk.,Transportation & Logistic,IDR
TAXI,Express Transindo Utama Tbk.,Transportation & Logistic,IDR
TMAS,Temas Tbk.,Transportation & Logistic,IDR
WEHA,WEHA Transportasi Indonesia Tb,Transportation & Logistic,IDR
TRUK,Guna Timur Raya Tbk.,Transportation & Logistic,IDR
TNCA,Trimuda Nuansa Citra Tbk.,Transportation & Logistic,IDR
BPTR,Batavia Prosperindo Trans Tbk.,Transportation & Logistic,IDR
SAPX,Satria Antaran Prima Tbk.,Transportation & Logistic,IDR
DEAL,Dewata Freightinternational Tb,Transportation & Logistic,IDR
JAYA,Armada Berjaya Trans Tbk.,Transportation & Logistic,IDR
KJEN,Krida Jaringan Nusantara Tbk.,Transportation & Logistic,IDR
PURA,Putra Rajawali Kencana Tbk.,Transportation & Logistic,IDR
PPGL,Prima Globalindo Logistik Tbk.,Transportation & Logistic,IDR
TRJA,Transkon Jaya Tbk.,Transportation & Logistic,IDR
HAIS,Hasnur Internasional Shipping ,Transportation & Logistic,IDR
HELI,Jaya Trishindo Tbk.,Transportation & Logistic,IDR
ASSA,Adi Sarana Armada Tbk.,Transportation & Logistic,IDR
HATM,Habco Trans Maritima Tbk.,Transportation & Logistic,IDR
RCCC,Utama Radar Cahaya Tbk.,Transportation & Logistic,IDR
ELPI,Pelayaran Nasional Ekalya Purn,Transportation & Logistic,IDR
