Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,9400.0,9425.0,9350.0,9425.0,9212.7041015625,30545200
2024-01-03,9425.0,9425.0,9325.0,9350.0,9139.3935546875,34603300
2024-01-04,9400.0,9475.0,9375.0,9475.0,9261.578125,56501800
2024-01-05,9500.0,9600.0,9475.0,9575.0,9359.3251953125,85290100
2024-01-08,9600.0,9625.0,9475.0,9575.0,9359.3251953125,50896000
2024-01-09,9600.0,9625.0,9575.0,9625.0,9408.19921875,59848600
2024-01-10,9650.0,9650.0,9550.0,9550.0,9334.888671875,52774900
2024-01-11,9625.0,9650.0,9575.0,9575.0,9359.3251953125,39381500
2024-01-12,9650.0,9700.0,9600.0,9700.0,9481.509765625,68253400
2024-01-15,9750.0,9750.0,9650.0,9725.0,9505.9462890625,88399500
2024-01-16,9700.0,9750.0,9675.0,9700.0,9481.509765625,44869200
2024-01-17,9750.0,9750.0,9650.0,9750.0,9530.3837890625,107706100
2024-01-18,9675.0,9750.0,9625.0,9675.0,9457.0732421875,71048900
2024-01-19,9775.0,9775.0,9600.0,9625.0,9408.19921875,63176500
2024-01-22,9600.0,9650.0,9525.0,9625.0,9408.19921875,52868300
2024-01-23,9450.0,9600.0,9450.0,9600.0,9383.76171875,92348600
2024-01-24,9600.0,9600.0,9475.0,9525.0,9310.451171875,84906000
2024-01-25,9450.0,9575.0,9450.0,9500.0,9286.0146484375,63212700
2024-01-26,9400.0,9450.0,9300.0,9350.0,9139.3935546875,78977300
2024-01-29,9400.0,9550.0,9375.0,9550.0,9334.888671875,73452800
2024-01-30,9500.0,9650.0,9475.0,9650.0,9432.6357421875,73136400
2024-01-31,9700.0,9700.0,9550.0,9550.0,9334.888671875,102581200
2024-02-01,9650.0,9725.0,9575.0,9700.0,9481.509765625,104208700
2024-02-02,9775.0,9800.0,9625.0,9700.0,9481.509765625,99324000
2024-02-05,9675.0,9675.0,9525.0,9575.0,9359.3251953125,57983300
2024-02-06,9750.0,9750.0,9625.0,9625.0,9408.19921875,87651000
2024-02-07,9700.0,9725.0,9650.0,9700.0,9481.509765625,92953500
2024-02-12,9750.0,9800.0,9700.0,9800.0,9579.2568359375,87949400
2024-02-13,9750.0,9800.0,9700.0,9725.0,9505.9462890625,66072400
2024-02-15,9950.0,9975.0,9850.0,9850.0,9628.130859375,164748900
2024-02-16,9975.0,10000.0,9875.0,9950.0,9725.87890625,142277200
2024-02-19,9900.0,9975.0,9825.0,9875.0,9652.5673828125,53341300
2024-02-20,9850.0,10025.0,9850.0,10025.0,9799.189453125,63997700
2024-02-21,9950.0,10000.0,9850.0,9975.0,9750.3154296875,75371600
2024-02-22,9975.0,9975.0,9875.0,9875.0,9652.5673828125,66913000
2024-02-23,9900.0,9925.0,9800.0,9825.0,9603.6943359375,55192300
2024-02-26,9750.0,9875.0,9725.0,9800.0,9579.2568359375,41356000
2024-02-27,9750.0,9900.0,9750.0,9875.0,9652.5673828125,43735800
2024-02-28,9975.0,10000.0,9900.0,10000.0,9774.751953125,54043100
2024-02-29,10000.0,10000.0,9850.0,9875.0,9652.5673828125,126671200
2024-03-01,9900.0,9925.0,9800.0,9825.0,9603.6943359375,51520600
2024-03-04,9800.0,9825.0,9750.0,9750.0,9530.3837890625,43822900
2024-03-05,9900.0,9900.0,9775.0,9800.0,9579.2568359375,61952900
2024-03-06,9900.0,10000.0,9775.0,9950.0,9725.87890625,70242200
2024-03-07,10050.0,10175.0,10000.0,10125.0,9896.9365234375,118369300
2024-03-08,10250.0,10300.0,10125.0,10150.0,9921.3740234375,100947200
2024-03-13,10400.0,10400.0,10000.0,10000.0,9774.751953125,141622600
2024-03-14,10050.0,10325.0,10025.0,10325.0,10092.431640625,110681100
2024-03-15,10200.0,10300.0,10050.0,10150.0,9921.3740234375,154176800
2024-03-18,10175.0,10275.0,10150.0,10150.0,9921.3740234375,62444100
2024-03-19,10150.0,10250.0,10150.0,10175.0,9945.810546875,55004800
2024-03-20,10100.0,10150.0,10075.0,10125.0,9896.9365234375,66269700
2024-03-21,10175.0,10225.0,10050.0,10125.0,9896.9365234375,90279400
2024-03-22,10000.0,10125.0,9950.0,10100.0,9872.5,91968200
2024-03-25,10075.0,10075.0,9925.0,10075.0,10075.0,66971000
2024-03-26,10050.0,10050.0,9950.0,10050.0,10050.0,65742700
2024-03-27,10025.0,10075.0,10000.0,10075.0,10075.0,39514100
2024-03-28,10025.0,10100.0,9975.0,10075.0,10075.0,79229700
2024-04-01,10075.0,10100.0,9825.0,9850.0,9850.0,79248700
2024-04-02,9925.0,9950.0,9800.0,9900.0,9900.0,76763100
2024-04-03,9750.0,9800.0,9525.0,9525.0,9525.0,177418400
2024-04-04,9575.0,9850.0,9575.0,9850.0,9850.0,75993500
2024-04-05,9950.0,9950.0,9825.0,9825.0,9825.0,70428600
2024-04-16,9350.0,9575.0,9250.0,9475.0,9475.0,283265900
2024-04-17,9550.0,9675.0,9525.0,9525.0,9525.0,95620700
2024-04-18,9525.0,9575.0,9450.0,9475.0,9475.0,127134000
2024-04-19,9350.0,9500.0,9300.0,9475.0,9475.0,147784300
2024-04-22,9400.0,9425.0,9350.0,9350.0,9350.0,128908000
2024-04-23,9400.0,9775.0,9400.0,9725.0,9725.0,178833000
2024-04-24,9825.0,9950.0,9750.0,9950.0,9950.0,132832700
2024-04-25,10000.0,10000.0,9700.0,9775.0,9775.0,104874100
2024-04-26,9700.0,9825.0,9625.0,9625.0,9625.0,100932900
2024-04-29,9525.0,9850.0,9525.0,9800.0,9800.0,90063500
2024-04-30,10050.0,10050.0,9800.0,9800.0,9800.0,109623000
2024-05-02,9900.0,9900.0,9500.0,9550.0,9550.0,97079400
2024-05-03,9750.0,9850.0,9675.0,9850.0,9850.0,81200400
2024-05-06,9850.0,9875.0,9775.0,9800.0,9800.0,53076200
2024-05-07,9700.0,9750.0,9625.0,9700.0,9700.0,66746800
2024-05-08,9600.0,9700.0,9375.0,9375.0,9375.0,112808900
2024-05-13,9200.0,9525.0,9200.0,9525.0,9525.0,145469900
